seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
8988,15,lower_only,0.0,0.058,,0.058702606566653964,4.2411041259765625,1.0,0.9920886075949367,0.9960285941223193,2,success,
8988,15,upper_only,0.0,,0.059,0.058702606566653964,6.547775983810425,0.7298161470823341,0.7223101265822784,0.7260437375745527,2,success,
70332,15,both_bounds,0.0,0.058,0.059,0.05880654586610309,1.4606308937072754,0.9967897271268058,0.9896414342629483,0.9932027189124351,2,success,
70332,15,lower_only,0.0,0.058,,0.05880654586610309,2.6136670112609863,0.9822294022617124,0.9689243027888447,0.9755314881668672,2,success,
70332,15,upper_only,0.0,,0.059,0.05880654586610309,1.6338109970092773,0.6975259377494014,0.6964143426294821,0.696969696969697,2,success,
51338,15,both_bounds,0.0,0.059,0.06,0.05922230306389957,1.875317096710205,0.9877149877149877,0.9893355209187858,0.9885245901639345,2,success,
51338,15,lower_only,0.0,0.059,,0.05922230306389957,20.291850090026855,0.702008032128514,0.7169811320754716,0.7094155844155844,2,success,
51338,15,upper_only,0.0,,0.06,0.05922230306389957,1.1247739791870117,1.0,0.9868744872846595,0.9933938893476466,2,success,
8938,15,both_bounds,0.0,0.059,0.06,0.0593493399854485,1.1806449890136719,0.9727047146401985,0.9735099337748344,0.9731071576334299,2,success,
8938,15,lower_only,0.0,0.059,,0.0593493399854485,6.841856956481934,0.7152156224572823,0.7276490066225165,0.721378744357817,2,success,
8938,15,upper_only,0.0,,0.06,0.0593493399854485,5.253414869308472,0.685737976782753,0.6846026490066225,0.6851698425849213,2,success,
12153,15,both_bounds,0.0,0.058,0.059,0.05873725299980367,2.0584139823913574,1.0,0.985725614591594,0.9928115015974441,2,success,
12153,15,lower_only,0.0,0.058,,0.05873725299980367,1.6630940437316895,1.0,0.9952418715305313,0.9976152623211447,2,success,
12153,15,upper_only,0.0,,0.059,0.05873725299980367,1.224787950515747,0.9943273905996759,0.9730372720063442,0.983567134268537,2,success,
72994,15,both_bounds,0.0,0.058,0.059,0.058760350621903476,1.4236950874328613,0.7266244057052298,0.7283558379666402,0.7274890916303054,2,success,
72994,15,lower_only,0.0,0.058,,0.058760350621903476,6.4751551151275635,0.7896466721446179,0.7633042096902304,0.7762520193861067,2,success,
72994,15,upper_only,0.0,,0.059,0.058760350621903476,6.830031156539917,0.7896466721446179,0.7633042096902304,0.7762520193861067,2,success,
55151,15,both_bounds,0.0,0.058,0.059,0.05884119229925279,1.1416430473327637,0.9896,0.9880191693290735,0.9888089528377298,2,success,
55151,15,lower_only,0.0,0.058,,0.05884119229925279,1.0457961559295654,0.9951573849878934,0.9848242811501597,0.9899638699317543,2,success,
55151,15,upper_only,0.0,,0.059,0.05884119229925279,1.5484659671783447,0.7063369397217929,0.7300319488817891,0.7179890023566379,2,success,
9178,15,both_bounds,0.0,0.059,0.06,0.05923385187494947,7.071778059005737,1.0,0.9983579638752053,0.9991783073130649,2,success,
9178,15,lower_only,0.0,0.059,,0.05923385187494947,6.300462007522583,1.0,0.9942528735632183,0.9971181556195965,2,success,
9178,15,upper_only,0.0,,0.06,0.05923385187494947,3.4708340167999268,0.7645650438946529,0.7865353037766831,0.7753945770942938,2,success,
