seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
7239,25,upper_only,0.0,,0.023,0.022762137439277293,1677.6390690803528,0.11581569115815692,0.11350691619202603,0.11464968152866242,2,success,
7239,25,both_bounds,0.001,0.020999999999999998,0.024,0.022762137439277293,45.913784980773926,0.37398373983739835,0.35557363710333606,0.3645464025026069,2,success,
7239,25,lower_only,0.001,0.020999999999999998,,0.022762137439277293,148.96365809440613,0.003954305799648506,0.003661513425549227,0.0038022813688212928,2,success,
7239,25,upper_only,0.001,,0.024,0.022762137439277293,931.8756868839264,0.1071993670886076,0.11025223759153784,0.10870437224227839,2,success,
7239,25,both_bounds,0.002,0.019999999999999997,0.025,0.022762137439277293,44.704981088638306,0.37398373983739835,0.35557363710333606,0.3645464025026069,2,success,
7239,25,lower_only,0.002,0.019999999999999997,,0.022762137439277293,657.2856979370117,0.012155212716222535,0.010577705451586655,0.011311725038068305,2,success,
7239,25,upper_only,0.002,,0.025,0.022762137439277293,199.01803302764893,0.16035307098197868,0.177379983726607,0.16843731891056596,2,success,
7239,25,both_bounds,0.003,0.019,0.026,0.022762137439277293,44.75393605232239,0.40383048084759576,0.403173311635476,0.4035016286644951,2,success,
7239,25,lower_only,0.003,0.019,,0.022762137439277293,106.77895188331604,0.46213971665852466,0.38486574450772987,0.4199778024417314,2,success,
7239,25,upper_only,0.003,,0.026,0.022762137439277293,1334.155799150467,0.476536922517279,0.532953620829943,0.5031688112156713,2,success,
7239,25,both_bounds,0.004,0.018,0.027,0.022762137439277293,89.05726099014282,0.367039586919105,0.3470301057770545,0.35675449602676707,2,success,
7239,25,lower_only,0.004,0.018,,0.022762137439277293,1978.4967319965363,0.3956945156330087,0.3140764849471115,0.35019278748015426,2,success,
7239,25,upper_only,0.004,,0.027,0.022762137439277293,165.4022011756897,0.33557548579970103,0.3653376729048006,0.349824698091157,2,success,
7239,25,both_bounds,0.005,0.016999999999999998,0.028,0.022762137439277293,94.19917798042297,0.08537220197813639,0.06672091131000814,0.07490294587805435,2,success,
7239,25,lower_only,0.005,0.016999999999999998,,0.022762137439277293,1603.8515920639038,0.8798683488754799,0.6525630593978845,0.7493576267227283,2,success,
