goal,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
1,0.01,both_bounds,0.09000000000000001,0.12,0.10227272727272728,0.013529062271118164,1.0,0.6666666666666666,0.8,2,success,
1,0.01,lower_only,0.09000000000000001,,0.10227272727272728,0.01320195198059082,0.7142857142857143,0.8333333333333334,0.7692307692307693,2,success,
1,0.01,upper_only,,0.12,0.10227272727272728,0.08466601371765137,1.0,0.8333333333333334,0.9090909090909091,2,success,
1,0.02,both_bounds,0.08,0.13,0.10227272727272728,0.013583898544311523,1.0,0.6666666666666666,0.8,2,success,
1,0.02,lower_only,0.08,,0.10227272727272728,0.09680700302124023,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,success,
1,0.02,upper_only,,0.13,0.10227272727272728,0.21592497825622559,1.0,0.8333333333333334,0.9090909090909091,2,success,
1,0.03,both_bounds,0.07,0.14,0.10227272727272728,0.01708698272705078,1.0,0.6666666666666666,0.8,2,success,
1,0.03,lower_only,0.07,,0.10227272727272728,0.01648402214050293,0.3333333333333333,0.16666666666666666,0.2222222222222222,2,success,
1,0.03,upper_only,,0.14,0.10227272727272728,0.10197210311889648,1.0,1.0,1.0,2,success,
1,0.04,both_bounds,0.060000000000000005,0.15,0.10227272727272728,0.015131950378417969,1.0,0.6666666666666666,0.8,2,success,
1,0.04,lower_only,0.060000000000000005,,0.10227272727272728,0.10245585441589355,0.5,0.3333333333333333,0.4,2,success,
1,0.04,upper_only,,0.15,0.10227272727272728,0.15697693824768066,1.0,1.0,1.0,2,success,
1,0.05,both_bounds,0.05,0.16,0.10227272727272728,0.017206907272338867,1.0,0.6666666666666666,0.8,2,success,
1,0.05,lower_only,0.05,,0.10227272727272728,0.13026690483093262,0.6,0.5,0.5454545454545454,2,success,
1,0.05,upper_only,,0.16,0.10227272727272728,0.16039204597473145,1.0,1.0,1.0,2,success,
2,0.0,both_bounds,0.1,0.11,0.10714285714285714,0.03568696975708008,0.42857142857142855,0.5,0.46153846153846156,2,success,
2,0.0,lower_only,0.1,,0.10714285714285714,0.06829380989074707,0.2,0.3333333333333333,0.25,2,success,
2,0.0,upper_only,,0.11,0.10714285714285714,0.17371106147766113,0.2,0.3333333333333333,0.25,2,success,
2,0.01,both_bounds,0.09000000000000001,0.12,0.10714285714285714,0.028599023818969727,0.5,0.6666666666666666,0.5714285714285714,2,success,
2,0.01,lower_only,0.09000000000000001,,0.10714285714285714,0.05789613723754883,0.1111111111111111,0.16666666666666666,0.13333333333333333,2,success,
2,0.01,upper_only,,0.12,0.10714285714285714,0.030595779418945312,0.18181818181818182,0.3333333333333333,0.23529411764705882,2,success,
2,0.02,both_bounds,0.08,0.13,0.10714285714285714,0.03171181678771973,0.5,0.6666666666666666,0.5714285714285714,2,success,
2,0.02,lower_only,0.08,,0.10714285714285714,0.4565889835357666,0.0,0.0,0.0,2,success,
2,0.02,upper_only,,0.13,0.10714285714285714,0.5071330070495605,0.0,0.0,0.0,2,success,
2,0.03,both_bounds,0.07,0.14,0.10714285714285714,0.027437210083007812,0.08333333333333333,0.16666666666666666,0.1111111111111111,2,success,
2,0.03,lower_only,0.07,,0.10714285714285714,0.3561990261077881,1.0,0.6666666666666666,0.8,2,success,
2,0.03,upper_only,,0.14,0.10714285714285714,0.8727037906646729,0.0,0.0,0.0,2,success,
2,0.04,both_bounds,0.060000000000000005,0.15,0.10714285714285714,0.025434017181396484,0.08333333333333333,0.16666666666666666,0.1111111111111111,2,success,
2,0.04,lower_only,0.060000000000000005,,0.10714285714285714,0.30405211448669434,0.0,0.0,0.0,2,success,
2,0.04,upper_only,,0.15,0.10714285714285714,1.0457179546356201,0.15384615384615385,0.3333333333333333,0.21052631578947367,2,success,
2,0.05,both_bounds,0.05,0.16,0.10714285714285714,0.02844405174255371,0.15384615384615385,0.3333333333333333,0.21052631578947367,2,success,
