seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
75385,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010792970657348633,1.0,1.0,1.0,2,success,
93344,0,1,2,,upper_only,,0.11,0.10317460317460317,0.009836196899414062,1.0,1.0,1.0,2,success,
69007,0,1,4,,lower_only,0.1,,0.10317460317460317,0.01503896713256836,1.0,1.0,1.0,4,success,
59934,0,1,2,,lower_only,0.1,,0.10317460317460317,0.012659072875976562,1.0,1.0,1.0,2,success,
7239,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.013318061828613281,1.0,1.0,1.0,2,success,
58283,0,1,2,,lower_only,0.1,,0.10317460317460317,0.011293888092041016,1.0,0.8571428571428571,0.9230769230769231,2,success,
114,0,1,2,,lower_only,0.1,,0.10317460317460317,0.011426925659179688,1.0,0.8571428571428571,0.9230769230769231,2,success,
65447,0,1,3,,upper_only,,0.11,0.10317460317460317,0.04535698890686035,0.7142857142857143,0.7142857142857143,0.7142857142857143,3,success,
29382,0,1,2,,lower_only,0.1,,0.10317460317460317,0.017128944396972656,1.0,0.7142857142857143,0.8333333333333334,2,success,
79121,0,1,2,,lower_only,0.1,,0.10317460317460317,0.01091909408569336,1.0,1.0,1.0,2,success,
97635,0,1,2,,lower_only,0.1,,0.10317460317460317,0.014050960540771484,1.0,1.0,1.0,2,success,
56085,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.013247013092041016,1.0,1.0,1.0,3,success,
11298,0,1,2,,lower_only,0.1,,0.10317460317460317,0.01093292236328125,1.0,1.0,1.0,2,success,
51134,0,1,2,,upper_only,,0.11,0.10317460317460317,0.011195182800292969,1.0,1.0,1.0,2,success,
89149,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.012355804443359375,1.0,1.0,1.0,4,success,
36624,0,1,3,,upper_only,,0.11,0.10317460317460317,0.02948307991027832,1.0,1.0,1.0,3,success,
8938,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.013990163803100586,1.0,1.0,1.0,4,success,
75385,0,1,2,,upper_only,,0.11,0.10317460317460317,0.011395931243896484,1.0,1.0,1.0,2,success,
58283,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010560989379882812,1.0,1.0,1.0,2,success,
114,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010671854019165039,1.0,1.0,1.0,2,success,
85303,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.03673911094665527,1.0,1.0,1.0,3,success,
98846,0,1,4,,lower_only,0.1,,0.10317460317460317,0.014755964279174805,1.0,1.0,1.0,4,success,
93344,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012491941452026367,1.0,1.0,1.0,3,success,
69007,0,1,4,,upper_only,,0.11,0.10317460317460317,0.013714075088500977,1.0,1.0,1.0,4,success,
72994,0,1,2,,upper_only,,0.11,0.10317460317460317,0.03239607810974121,1.0,1.0,1.0,2,success,
79820,0,1,2,,lower_only,0.1,,0.10317460317460317,0.014190912246704102,1.0,1.0,1.0,2,success,
9178,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.018391132354736328,1.0,1.0,1.0,4,success,
11298,0,1,2,,upper_only,,0.11,0.10317460317460317,0.010037899017333984,1.0,1.0,1.0,2,success,
56085,0,1,3,,lower_only,0.1,,0.10317460317460317,0.013077974319458008,1.0,1.0,1.0,3,success,
87228,0,1,2,,lower_only,0.1,,0.10317460317460317,0.03383183479309082,1.0,1.0,1.0,2,success,
39161,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.01860499382019043,1.0,1.0,1.0,4,success,
