seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
79121,0,1,5,,distance,levenshtein,0.08123493194580078,1.0,1.0,1.0,5,success,
59934,0,1,5,,distance,levenshtein,0.24681401252746582,0.875,1.0,0.9333333333333333,5,success,
75385,0,1,6,,distance,levenshtein,0.13480210304260254,0.875,1.0,0.9333333333333333,6,success,
8938,0,1,7,,distance,levenshtein,0.23722100257873535,0.875,1.0,0.9333333333333333,7,success,
45,0,1,5,,distance,levenshtein,0.07255983352661133,1.0,1.0,1.0,5,success,
8988,0,1,6,,distance,levenshtein,0.502133846282959,0.875,1.0,0.9333333333333333,6,success,
51338,0,1,6,,distance,levenshtein,0.20334601402282715,0.875,1.0,0.9333333333333333,6,success,
58656,0,1,5,,distance,levenshtein,0.36214685440063477,0.7777777777777778,1.0,0.875,5,success,
12153,0,1,8,,distance,levenshtein,0.3532371520996094,0.875,1.0,0.9333333333333333,8,success,
9471,0,1,8,,distance,levenshtein,0.4258401393890381,1.0,1.0,1.0,8,success,
55151,0,1,8,,distance,levenshtein,0.43111491203308105,1.0,1.0,1.0,8,success,
87228,0,1,7,,distance,levenshtein,0.21400117874145508,0.7777777777777778,1.0,0.875,7,success,
26253,0,1,5,,distance,levenshtein,0.11566495895385742,0.875,1.0,0.9333333333333333,5,success,
63198,0,1,6,,distance,levenshtein,0.1761798858642578,0.7777777777777778,1.0,0.875,6,success,
39161,0,1,6,,distance,levenshtein,0.5566511154174805,0.875,1.0,0.9333333333333333,6,success,
37843,0,1,7,,distance,levenshtein,0.24058890342712402,0.875,1.0,0.9333333333333333,7,success,
162,0,1,6,,distance,levenshtein,0.3023049831390381,0.7,1.0,0.8235294117647058,6,success,
89149,0,1,7,,distance,levenshtein,0.21210694313049316,1.0,1.0,1.0,7,success,
68503,0,1,5,,distance,levenshtein,0.11075592041015625,0.875,1.0,0.9333333333333333,5,success,
84787,0,1,7,,distance,levenshtein,0.1860640048980713,0.7777777777777778,1.0,0.875,7,success,
51134,0,1,6,,distance,levenshtein,0.15927720069885254,0.6363636363636364,1.0,0.7777777777777778,6,success,
69007,0,1,6,,distance,levenshtein,0.1323540210723877,0.7777777777777778,1.0,0.875,6,success,
114,0,1,9,,distance,levenshtein,0.30115699768066406,1.0,1.0,1.0,9,success,
11517,0,1,9,,distance,levenshtein,0.3403921127319336,1.0,1.0,1.0,9,success,
88322,0,1,6,,distance,levenshtein,0.13174104690551758,0.875,1.0,0.9333333333333333,6,success,
79820,0,1,8,,distance,levenshtein,0.4416630268096924,1.0,1.0,1.0,8,success,
85303,0,1,7,,distance,levenshtein,0.37099385261535645,0.7777777777777778,1.0,0.875,7,success,
33653,0,1,6,,distance,levenshtein,0.14214801788330078,0.7777777777777778,1.0,0.875,6,success,
79121,0,1,6,,distance,levenshtein,0.15480494499206543,1.0,1.0,1.0,6,success,
45,0,1,6,,distance,levenshtein,0.13084888458251953,1.0,1.0,1.0,6,success,
65447,0,1,7,,distance,levenshtein,0.22381901741027832,0.7777777777777778,1.0,0.875,7,success,
8938,0,1,8,,distance,levenshtein,0.08398222923278809,0.875,1.0,0.9333333333333333,8,success,
89095,0,1,5,,distance,levenshtein,0.4402740001678467,0.7777777777777778,1.0,0.875,5,success,
9178,0,1,6,,distance,levenshtein,0.5558011531829834,0.7777777777777778,1.0,0.875,6,success,
31055,0,1,7,,distance,levenshtein,0.3629910945892334,0.7777777777777778,1.0,0.875,7,success,
11298,0,1,8,,distance,levenshtein,0.33910393714904785,0.875,1.0,0.9333333333333333,8,success,
29382,0,1,4,,distance,levenshtein,0.38820600509643555,1.0,1.0,1.0,4,success,
98846,0,1,8,,distance,levenshtein,0.43381214141845703,0.7777777777777778,1.0,0.875,8,success,
93884,0,1,6,,distance,levenshtein,0.6071689128875732,0.7777777777777778,1.0,0.875,6,success,
58283,0,1,8,,distance,levenshtein,0.37575507164001465,0.875,1.0,0.9333333333333333,8,success,
75385,0,1,7,,distance,levenshtein,0.2948899269104004,0.875,1.0,0.9333333333333333,7,success,
56085,0,1,9,,distance,levenshtein,0.3233509063720703,0.875,1.0,0.9333333333333333,9,success,
93344,0,1,7,,distance,levenshtein,0.45783400535583496,1.0,1.0,1.0,7,success,
97635,0,1,8,,distance,levenshtein,0.4365859031677246,1.0,1.0,1.0,8,success,
28998,0,1,6,,distance,levenshtein,1.397495985031128,1.0,1.0,1.0,6,success,
12153,0,1,9,,distance,levenshtein,0.26310086250305176,0.875,1.0,0.9333333333333333,9,success,
39871,0,1,9,,distance,levenshtein,0.35893797874450684,1.0,1.0,1.0,9,success,
