seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
84787,0,1,9,,distance,levenshtein,0.3197669982910156,0.7777777777777778,1.0,0.875,9,success,
51338,0,1,8,,distance,levenshtein,0.49146485328674316,0.875,1.0,0.9333333333333333,8,success,
11517,0,2,2,,distance,levenshtein,0.058573007583618164,1.0,1.0,1.0,2,success,
88322,0,2,2,,distance,levenshtein,0.05271410942077637,0.875,1.0,0.9333333333333333,2,success,
15852,0,1,8,,distance,levenshtein,0.21970891952514648,0.875,1.0,0.9333333333333333,8,success,
6886,0,1,7,,distance,levenshtein,0.7495088577270508,1.0,1.0,1.0,7,success,
9471,0,2,3,,distance,levenshtein,0.08529782295227051,1.0,1.0,1.0,3,success,
8988,0,1,7,,distance,levenshtein,0.6935350894927979,0.875,1.0,0.9333333333333333,7,success,
55151,0,2,2,,distance,levenshtein,0.08086085319519043,1.0,1.0,1.0,2,success,
45,0,1,10,,distance,levenshtein,0.0412449836730957,1.0,1.0,1.0,10,success,
33653,0,1,8,,distance,levenshtein,0.6682639122009277,0.7777777777777778,1.0,0.875,8,success,
32584,0,1,7,,distance,levenshtein,0.6783709526062012,0.875,1.0,0.9333333333333333,7,success,
3075,0,1,5,,distance,levenshtein,1.1752769947052002,0.7,1.0,0.8235294117647058,5,success,
45,0,2,2,,distance,levenshtein,0.02843499183654785,1.0,1.0,1.0,2,success,
58656,0,1,7,,distance,levenshtein,0.23624897003173828,0.7777777777777778,1.0,0.875,7,success,
9471,0,2,4,,distance,levenshtein,0.20351696014404297,1.0,1.0,1.0,4,success,
26253,0,1,8,,distance,levenshtein,0.31202197074890137,0.875,1.0,0.9333333333333333,8,success,
84787,0,1,10,,distance,levenshtein,0.25383901596069336,0.7777777777777778,1.0,0.875,10,success,
68503,0,1,8,,distance,levenshtein,0.3068859577178955,0.875,1.0,0.9333333333333333,8,success,
45,0,2,3,,distance,levenshtein,0.14117217063903809,1.0,1.0,1.0,3,success,
88322,0,2,3,,distance,levenshtein,0.3228189945220947,0.875,1.0,0.9333333333333333,3,success,
33653,0,1,9,,distance,levenshtein,0.20243287086486816,0.7777777777777778,1.0,0.875,9,success,
162,0,1,8,,distance,levenshtein,0.858677864074707,0.7,1.0,0.8235294117647058,8,success,
51338,0,1,9,,distance,levenshtein,0.3304929733276367,0.875,1.0,0.9333333333333333,9,success,
8988,0,1,8,,distance,levenshtein,0.277332067489624,0.875,1.0,0.9333333333333333,8,success,
84787,0,2,2,,distance,levenshtein,0.04984617233276367,0.7777777777777778,1.0,0.875,2,success,
39871,0,2,4,,distance,levenshtein,0.4557969570159912,1.0,1.0,1.0,4,success,
33653,0,1,10,,distance,levenshtein,0.04286909103393555,0.7777777777777778,1.0,0.875,10,success,
9471,0,2,5,,distance,levenshtein,0.26164889335632324,1.0,1.0,1.0,5,success,
93884,0,1,8,,distance,levenshtein,0.6506569385528564,0.7777777777777778,1.0,0.875,8,success,
84787,0,2,3,,distance,levenshtein,0.19298601150512695,0.7777777777777778,1.0,0.875,3,success,
33653,0,2,2,,distance,levenshtein,0.10040807723999023,0.7777777777777778,1.0,0.875,2,success,
11517,0,2,3,,distance,levenshtein,0.8483791351318359,1.0,1.0,1.0,3,success,
12153,0,2,3,,distance,levenshtein,1.1085071563720703,0.875,1.0,0.9333333333333333,3,success,
84787,0,2,4,,distance,levenshtein,0.20179510116577148,0.7777777777777778,1.0,0.875,4,success,
55151,0,2,3,,distance,levenshtein,0.9919819831848145,1.0,1.0,1.0,3,success,
84787,0,2,5,,distance,levenshtein,0.07505011558532715,0.7777777777777778,1.0,0.875,5,success,
45,0,2,4,,distance,levenshtein,0.824146032333374,1.0,1.0,1.0,4,success,
9471,0,2,6,,distance,levenshtein,0.5422079563140869,1.0,1.0,1.0,6,success,
63198,0,1,8,,distance,levenshtein,1.5150110721588135,0.7777777777777778,1.0,0.875,8,success,
3075,0,1,6,,distance,levenshtein,1.1087939739227295,0.7,1.0,0.8235294117647058,6,success,
33653,0,2,3,,distance,levenshtein,0.5205159187316895,0.7777777777777778,1.0,0.875,3,success,
84787,0,2,6,,distance,levenshtein,0.07837700843811035,0.7777777777777778,1.0,0.875,6,success,
32584,0,1,8,,distance,levenshtein,1.2876567840576172,0.875,1.0,0.9333333333333333,8,success,
6886,0,1,8,,distance,levenshtein,1.4396998882293701,1.0,1.0,1.0,8,success,
11517,0,2,4,,distance,levenshtein,0.5776181221008301,1.0,1.0,1.0,4,success,
45,0,2,5,,distance,levenshtein,0.14881181716918945,1.0,0.8571428571428571,0.9230769230769231,5,success,
28998,0,1,7,,distance,levenshtein,1.6570520401000977,1.0,1.0,1.0,7,success,
39871,0,2,5,,distance,levenshtein,1.110624074935913,1.0,1.0,1.0,5,success,
6886,0,1,9,,distance,levenshtein,0.13216185569763184,1.0,1.0,1.0,9,success,
11517,0,2,5,,distance,levenshtein,0.15442609786987305,1.0,1.0,1.0,5,success,
32584,0,1,9,,distance,levenshtein,0.1996471881866455,0.875,1.0,0.9333333333333333,9,success,
37843,0,1,9,,distance,levenshtein,2.1966450214385986,0.875,1.0,0.9333333333333333,9,success,
3075,0,1,7,,distance,levenshtein,0.4006469249725342,0.7,1.0,0.8235294117647058,7,success,
45,0,2,6,,distance,levenshtein,0.25159287452697754,1.0,1.0,1.0,6,success,
39871,0,2,6,,distance,levenshtein,0.1562349796295166,1.0,1.0,1.0,6,success,
84787,0,2,7,,distance,levenshtein,0.44086384773254395,0.7777777777777778,1.0,0.875,7,success,
15852,0,1,9,,distance,levenshtein,1.9786689281463623,0.875,1.0,0.9333333333333333,9,success,
55151,0,2,4,,distance,levenshtein,0.9280290603637695,1.0,1.0,1.0,4,success,
11517,0,2,6,,distance,levenshtein,0.28278088569641113,1.0,1.0,1.0,6,success,
31055,0,1,9,,distance,levenshtein,2.3099350929260254,0.7777777777777778,1.0,0.875,9,success,
51338,0,1,10,,distance,levenshtein,1.7939019203186035,0.875,1.0,0.9333333333333333,10,success,
12153,0,2,4,,distance,levenshtein,1.3085169792175293,0.875,1.0,0.9333333333333333,4,success,
63198,0,1,9,,distance,levenshtein,0.9418931007385254,0.7777777777777778,1.0,0.875,9,success,
32584,0,1,10,,distance,levenshtein,0.43683910369873047,0.875,1.0,0.9333333333333333,10,success,
51338,0,2,2,,distance,levenshtein,0.03984498977661133,0.875,1.0,0.9333333333333333,2,success,
39871,0,2,7,,distance,levenshtein,0.2719430923461914,1.0,1.0,1.0,7,success,
9471,0,2,7,,distance,levenshtein,0.9824161529541016,1.0,1.0,1.0,7,success,
55151,0,2,5,,distance,levenshtein,0.159376859664917,1.0,1.0,1.0,5,success,
28998,0,1,8,,distance,levenshtein,0.7760441303253174,1.0,1.0,1.0,8,success,
32584,0,2,2,,distance,levenshtein,0.044625043869018555,0.8571428571428571,0.8571428571428571,0.8571428571428571,2,success,
51338,0,2,3,,distance,levenshtein,0.13055706024169922,0.8571428571428571,0.8571428571428571,0.8571428571428571,3,success,
11517,0,2,7,,distance,levenshtein,0.3444550037384033,1.0,1.0,1.0,7,success,
58656,0,1,8,,distance,levenshtein,2.569575786590576,0.7777777777777778,1.0,0.875,8,success,
89095,0,1,6,,distance,levenshtein,3.2781569957733154,0.7777777777777778,1.0,0.875,6,success,
37843,0,1,10,,distance,levenshtein,0.9393510818481445,0.875,1.0,0.9333333333333333,10,success,
51338,0,2,4,,distance,levenshtein,0.36527085304260254,0.875,1.0,0.9333333333333333,4,success,
39871,0,2,8,,distance,levenshtein,0.36319708824157715,1.0,1.0,1.0,8,success,
15852,0,1,10,,distance,levenshtein,0.8767731189727783,0.875,1.0,0.9333333333333333,10,success,
37843,0,2,2,,distance,levenshtein,0.05877184867858887,0.8571428571428571,0.8571428571428571,0.8571428571428571,2,success,
26253,0,1,9,,distance,levenshtein,2.721676826477051,0.875,1.0,0.9333333333333333,9,success,
162,0,1,9,,distance,levenshtein,2.7025461196899414,0.6666666666666666,0.8571428571428571,0.75,9,success,
32584,0,2,3,,distance,levenshtein,0.7081689834594727,0.875,1.0,0.9333333333333333,3,success,
15852,0,2,2,,distance,levenshtein,0.11693215370178223,0.875,1.0,0.9333333333333333,2,success,
11517,0,2,8,,distance,levenshtein,0.5453369617462158,1.0,1.0,1.0,8,success,
12153,0,2,5,,distance,levenshtein,1.1845660209655762,0.875,1.0,0.9333333333333333,5,success,
39871,0,2,9,,distance,levenshtein,0.5275671482086182,1.0,1.0,1.0,9,success,
63198,0,1,10,,distance,levenshtein,1.471864938735962,0.7777777777777778,1.0,0.875,10,success,
31055,0,1,10,,distance,levenshtein,1.5496039390563965,0.7777777777777778,1.0,0.875,10,success,
32584,0,2,4,,distance,levenshtein,0.6470789909362793,0.875,1.0,0.9333333333333333,4,success,
12153,0,2,6,,distance,levenshtein,0.20787596702575684,0.875,1.0,0.9333333333333333,6,success,
68503,0,1,9,,distance,levenshtein,3.6856350898742676,0.875,1.0,0.9333333333333333,9,success,
51338,0,2,5,,distance,levenshtein,0.9567770957946777,0.875,1.0,0.9333333333333333,5,success,
45,0,2,7,,distance,levenshtein,2.012331008911133,1.0,1.0,1.0,7,success,
63198,0,2,2,,distance,levenshtein,0.08521819114685059,0.7777777777777778,1.0,0.875,2,success,
31055,0,2,2,,distance,levenshtein,0.08139395713806152,0.7777777777777778,1.0,0.875,2,success,
37843,0,2,3,,distance,levenshtein,0.9937829971313477,0.875,1.0,0.9333333333333333,3,success,
15852,0,2,3,,distance,levenshtein,0.8494699001312256,0.875,1.0,0.9333333333333333,3,success,
51338,0,2,6,,distance,levenshtein,0.1689291000366211,0.875,1.0,0.9333333333333333,6,success,
39871,0,2,10,,distance,levenshtein,0.5255758762359619,1.0,1.0,1.0,10,success,
12153,0,2,7,,distance,levenshtein,0.36098408699035645,0.875,1.0,0.9333333333333333,7,success,
39871,0,3,2,,distance,levenshtein,0.03216290473937988,1.0,1.0,1.0,2,success,
55151,0,2,6,,distance,levenshtein,2.1085829734802246,1.0,1.0,1.0,6,success,
89095,0,1,7,,distance,levenshtein,1.7142889499664307,0.7777777777777778,1.0,0.875,7,success,
51338,0,2,7,,distance,levenshtein,0.22002387046813965,0.875,1.0,0.9333333333333333,7,success,
39871,0,3,3,,distance,levenshtein,0.0486299991607666,1.0,1.0,1.0,3,success,
84787,0,2,8,,distance,levenshtein,2.5777649879455566,0.6666666666666666,0.5714285714285714,0.6153846153846154,8,success,
45,0,2,8,,distance,levenshtein,0.4701871871948242,1.0,0.8571428571428571,0.9230769230769231,8,success,
63198,0,2,3,,distance,levenshtein,0.7187790870666504,0.7777777777777778,1.0,0.875,3,success,
12153,0,2,8,,distance,levenshtein,0.1125788688659668,0.875,1.0,0.9333333333333333,8,success,
39871,0,3,4,,distance,levenshtein,0.1994318962097168,1.0,1.0,1.0,4,success,
51338,0,2,8,,distance,levenshtein,0.10320496559143066,0.875,1.0,0.9333333333333333,8,success,
93884,0,1,9,,distance,levenshtein,4.429525852203369,0.7777777777777778,1.0,0.875,9,success,
89095,0,1,8,,distance,levenshtein,0.27225303649902344,0.7777777777777778,1.0,0.875,8,success,
68503,0,1,10,,distance,levenshtein,1.0174341201782227,0.875,1.0,0.9333333333333333,10,success,
93884,0,1,10,,distance,levenshtein,0.05917787551879883,0.7777777777777778,1.0,0.875,10,success,
55151,0,2,7,,distance,levenshtein,0.3795950412750244,1.0,1.0,1.0,7,success,
68503,0,2,2,,distance,levenshtein,0.10422897338867188,0.875,1.0,0.9333333333333333,2,success,
39871,0,3,5,,distance,levenshtein,0.28881001472473145,1.0,1.0,1.0,5,success,
93884,0,2,2,,distance,levenshtein,0.09834599494934082,0.7777777777777778,1.0,0.875,2,success,
45,0,2,9,,distance,levenshtein,0.4868180751800537,1.0,1.0,1.0,9,success,
31055,0,2,3,,distance,levenshtein,1.4949939250946045,0.7777777777777778,1.0,0.875,3,success,
93884,0,2,3,,distance,levenshtein,0.31597089767456055,0.7777777777777778,1.0,0.875,3,success,
8988,0,1,9,,distance,levenshtein,5.513163089752197,0.875,1.0,0.9333333333333333,9,success,
68503,0,2,3,,distance,levenshtein,0.5843188762664795,0.875,1.0,0.9333333333333333,3,success,
55151,0,2,8,,distance,levenshtein,0.5074970722198486,1.0,1.0,1.0,8,success,
89095,0,1,9,,distance,levenshtein,0.8232030868530273,0.7777777777777778,1.0,0.875,9,success,
33653,0,2,4,,distance,levenshtein,4.964004039764404,0.7777777777777778,1.0,0.875,4,success,
45,0,2,10,,distance,levenshtein,0.5088551044464111,1.0,1.0,1.0,10,success,
45,0,3,2,,distance,levenshtein,0.029288053512573242,1.0,1.0,1.0,2,success,
